1 9397 	,
2 4063 	to
3 3975 	.
4 3861 	the
5 3565 	of
6 3350 	and
7 2436 	her
8 2043 	a
9 2004 	I
10 1904 	in
11 1846 	was
12 1568 	it
13 1506 	"
14 1419 	;
15 1333 	she
16 1305 	be
17 1297 	that
18 1234 	for
19 1212 	not
20 1179 	as
21 1037 	you
22 971 	with
23 969 	had
24 941 	his
25 895 	he
26 883 	'
27 807 	have
28 806 	at
29 737 	by
30 728 	is
31 721 	."
32 700 	s
33 684 	Elinor
34 676 	on
35 642 	all
36 633 	him
37 617 	so
38 597 	but
39 592 	which
40 568 	could
41 566 	Marianne
42 551 	my
43 530 	Mrs
44 527 	from
45 507 	would
46 492 	very
47 488 	no
48 463 	their
49 462 	them
50 461 	--
51 440 	been
52 437 	were
53 433 	me
54 428 	they
55 406 	more
56 397 	said
57 396 	,"
58 389 	any
59 375 	what
60 372 	this
61 366 	-
62 361 	every
63 360 	than
64 354 	will
65 353 	or
66 347 	your
67 346 	an
68 340 	such
69 304 	one
70 296 	do
71 289 	But
72 289 	!
73 287 	much
74 282 	only
75 282 	sister
76 279 	must
77 271 	own
78 270 	am
79 262 	Edward
80 261 	when
81 260 	who
82 258 	mother
83 258 	She
84 255 	herself
85 252 	Dashwood
86 249 	if
87 243 	The
88 237 	time
89 230 	know
90 230 	Jennings
91 228 	should
92 224 	are
93 215 	might
94 215 	Willoughby
95 213 	?"
96 211 	did
97 210 	now
98 209 	there
99 209 	think
100 208 	Miss
101 206 	some
102 206 	can
103 204 	though
104 203 	He
105 200 	has
106 198 	before
107 191 	well
108 189 	It
109 188 	too
110 186 	other
111 185 	thing
112 185 	Lucy
113 184 	never
114 183 	how
115 180 	soon
116 180 	after
117 178 	Mr
118 173 	Colonel
119 173 	see
120 172 	we
121 171 	without
122 170 	nothing
123 169 	may
124 169 	ever
125 166 	.--
126 166 	good
127 164 	being
128 163 	John
129 161 	out
130 160 	first
131 160 	say
132 160 	?
133 159 	house
134 158 	little
135 152 	most
136 150 	day
137 149 	great
138 145 	however
139 145 	two
140 145 	;--
141 144 	Brandon
142 143 	again
143 141 	And
144 140 	!--
145 140 	make
146 138 	made
147 135 	about
148 134 	sure
149 133 	its
150 129 	Ferrars
151 128 	You
152 127 	heart
153 126 	give
154 126 	then
155 123 	shall
156 122 	always
157 121 	man
158 121 	even
159 119 	room
160 116 	thought
161 115 	into
162 114 	himself
163 114 	saw
164 113 	!"
